Name,Block #,X,Y,Angle,Side
.ref,633,7550,6900,0,TOP
.ref,634,7900,6900,0,TOP
.ref,635,8250,6900,0,TOP
.ref,636,8600,6900,0,TOP
.ref,637,8950,6900,0,TOP
.ref,638,9300,6900,0,TOP
.ref,639,9650,6900,0,TOP
.ref,640,10000,6900,0,TOP
.ref,641,10350,6900,0,TOP
.ref,642,10700,6900,0,TOP
.ref,643,11050,6900,0,TOP
.ref,644,200,7250,0,TOP
.ref,645,550,7250,0,TOP
.ref,646,900,7250,0,TOP
.ref,647,1250,7250,0,TOP
.ref,648,1600,7250,0,TOP
.ref,649,1950,7250,0,TOP
.ref,650,2300,7250,0,TOP
.ref,651,2650,7250,0,TOP
.ref,652,3000,7250,0,TOP
.ref,653,3350,7250,0,TOP
.ref,654,3700,7250,0,TOP
.ref,655,4050,7250,0,TOP
.ref,656,4400,7250,0,TOP
.ref,657,4750,7250,0,TOP
.ref,658,5100,7250,0,TOP
.ref,659,5450,7250,0,TOP
.ref,660,5800,7250,0,TOP
.ref,661,6150,7250,0,TOP
.ref,662,6500,7250,0,TOP
.ref,663,6850,7250,0,TOP
.ref,664,7200,7250,0,TOP
.ref,665,7550,7250,0,TOP
.ref,666,7900,7250,0,TOP
.ref,667,8250,7250,0,TOP
.ref,668,8600,7250,0,TOP
.ref,669,8950,7250,0,TOP
.ref,670,9300,7250,0,TOP
.ref,671,9650,7250,0,TOP
.ref,672,10000,7250,0,TOP
.ref,673,10350,7250,0,TOP
.ref,674,10700,7250,0,TOP
.ref,675,11050,7250,0,TOP
.ref,676,200,7600,0,TOP
.ref,677,550,7600,0,TOP
.ref,678,900,7600,0,TOP
.ref,679,1250,7600,0,TOP
.ref,680,1600,7600,0,TOP
.ref,681,1950,7600,0,TOP
.ref,682,2300,7600,0,TOP
.ref,683,2650,7600,0,TOP
.ref,684,3000,7600,0,TOP
.ref,685,3350,7600,0,TOP
.ref,686,3700,7600,0,TOP
.ref,687,4050,7600,0,TOP
.ref,688,4400,7600,0,TOP
.ref,689,4750,7600,0,TOP
.ref,690,5100,7600,0,TOP
.ref,691,5450,7600,0,TOP
.ref,692,5800,7600,0,TOP
.ref,693,6150,7600,0,TOP
.ref,694,6500,7600,0,TOP
.ref,695,6850,7600,0,TOP
.ref,696,7200,7600,0,TOP
.ref,697,7550,7600,0,TOP
.ref,698,7900,7600,0,TOP
.ref,699,8250,7600,0,TOP
.ref,700,8600,7600,0,TOP
.ref,701,8950,7600,0,TOP
.ref,702,9300,7600,0,TOP
.ref,703,9650,7600,0,TOP
.ref,704,10000,7600,0,TOP
.ref,705,10350,7600,0,TOP
.ref,706,10700,7600,0,TOP
.ref,707,11050,7600,0,TOP
.ref,708,200,7950,0,TOP
.ref,709,550,7950,0,TOP
.ref,710,900,7950,0,TOP
.ref,711,1250,7950,0,TOP
.ref,712,1600,7950,0,TOP
.ref,713,1950,7950,0,TOP
.ref,714,2300,7950,0,TOP
.ref,715,2650,7950,0,TOP
.ref,716,3000,7950,0,TOP
.ref,717,3350,7950,0,TOP
.ref,718,3700,7950,0,TOP
.ref,719,4050,7950,0,TOP
.ref,720,4400,7950,0,TOP
.ref,721,4750,7950,0,TOP
.ref,722,5100,7950,0,TOP
.ref,723,5450,7950,0,TOP
.ref,724,5800,7950,0,TOP
.ref,725,6150,7950,0,TOP
.ref,726,6500,7950,0,TOP
.ref,727,6850,7950,0,TOP
.ref,728,7200,7950,0,TOP
.ref,729,7550,7950,0,TOP
.ref,730,7900,7950,0,TOP
.ref,731,8250,7950,0,TOP
.ref,732,8600,7950,0,TOP
.ref,733,8950,7950,0,TOP
.ref,734,9300,7950,0,TOP
.ref,735,9650,7950,0,TOP
.ref,736,10000,7950,0,TOP
.ref,737,10350,7950,0,TOP
.ref,738,10700,7950,0,TOP
.ref,739,11050,7950,0,TOP
.ref,740,200,8300,0,TOP
.ref,741,550,8300,0,TOP
.ref,742,900,8300,0,TOP
.ref,743,1250,8300,0,TOP
.ref,744,1600,8300,0,TOP
.ref,745,1950,8300,0,TOP
.ref,746,2300,8300,0,TOP
.ref,747,2650,8300,0,TOP
.ref,748,3000,8300,0,TOP
.ref,749,3350,8300,0,TOP
.ref,750,3700,8300,0,TOP
.ref,751,4050,8300,0,TOP
.ref,752,4400,8300,0,TOP
.ref,753,4750,8300,0,TOP
.ref,754,5100,8300,0,TOP
.ref,755,5450,8300,0,TOP
.ref,756,5800,8300,0,TOP
.ref,757,6150,8300,0,TOP
.ref,758,6500,8300,0,TOP
.ref,759,6850,8300,0,TOP
.ref,760,7200,8300,0,TOP
.ref,761,7550,8300,0,TOP
.ref,762,7900,8300,0,TOP
.ref,763,8250,8300,0,TOP
.ref,764,8600,8300,0,TOP
.ref,765,8950,8300,0,TOP
.ref,766,9300,8300,0,TOP
.ref,767,9650,8300,0,TOP
.ref,768,10000,8300,0,TOP
.ref,769,10350,8300,0,TOP
.ref,770,10700,8300,0,TOP
.ref,771,11050,8300,0,TOP
.ref,772,200,8650,0,TOP
.ref,773,550,8650,0,TOP
.ref,774,900,8650,0,TOP
.ref,775,1250,8650,0,TOP
.ref,776,1600,8650,0,TOP
.ref,777,1950,8650,0,TOP
.ref,778,2300,8650,0,TOP
.ref,779,2650,8650,0,TOP
.ref,780,3000,8650,0,TOP
.ref,781,3350,8650,0,TOP
.ref,782,3700,8650,0,TOP
.ref,783,4050,8650,0,TOP
.ref,784,4400,8650,0,TOP
.ref,785,4750,8650,0,TOP
.ref,786,5100,8650,0,TOP
